指标名称,美元指数:月:平均值,期货结算价(连续):布伦特原油:月:平均值
1978-07,92.4455,
1978-08,89.9973913,
1978-09,89.5195,
1978-10,86.08190476,
1978-11,88.872,
1978-12,88.5425,
1979-01,87.77954545,
1979-02,88.24944444,
1979-03,88.39545455,
1979-04,89.489,
1979-05,90.31181818,
1979-06,89.58095238,
1979-07,86.93428571,
1979-08,87.24478261,
1979-09,86.73894737,
1979-10,87.68545455,
1979-11,88.13052632,
1979-12,86.325,
1980-01,85.51909091,
1980-02,86.37526316,
1980-03,90.29857143,
1980-04,91.14909091,
1980-05,86.96904762,
1980-06,85.29190476,
1980-07,84.65681818,
1980-08,86.09571429,
1980-09,85.50047619,
1980-10,86.60727273,
1980-11,89.31470588,
1980-12,90.99681818,
1981-01,91.4152381,
1981-02,96.03722222,
1981-03,96.23636364,
1981-04,98.815,
1981-05,103.613,
1981-06,106.8704545,
1981-07,109.8821739,
1981-08,112.3090476,
1981-09,108.022381,
1981-10,106.3571429,
1981-11,104.5372222,
1981-12,105.2213636,
1982-01,106.973,
1982-02,110.375,
1982-03,112.4630435,
1982-04,114.0818182,
1982-05,111.0375,
1982-06,117.0318182,
1982-07,118.9238095,
1982-08,119.6495455,
1982-09,120.9390476,
1982-10,123.1795,
1982-11,124.2994737,
1982-12,119.2356522,
1983-01,117.7542857,
1983-02,119.7068421,
1983-03,120.7265217,
1983-04,121.83,
1983-05,122.06,
1983-06,125.1627273,
1983-07,126.62,
1983-08,129.7756522,
1983-09,129.742381,
1983-10,127.507,
1983-11,130.2636842,
1983-12,132.8428571,
1984-01,135.077619,
1984-02,131.7715789,
1984-03,128.0781818,
1984-04,129.9895,
1984-05,133.9918182,
1984-06,134.3347619,
1984-07,139.307619,
1984-08,140.2095652,
1984-09,145.7342105,
1984-10,147.5786364,
1984-11,144.9489474,
1984-12,149.2465,
1985-01,152.83,
1985-02,158.4905556,
1985-03,158.2757143,
1985-04,149.6109091,
1985-05,149.955,
1985-06,147.713,
1985-07,141.0063636,
1985-08,137.5586364,
1985-09,139.2205,
1985-10,130.7163636,
1985-11,127.8585714,
1985-12,125.6059091,
1986-01,123.503913,
1986-02,118.4785,
1986-03,115.9280952,
1986-04,115.5045455,
1986-05,113.395,
1986-06,113.6133333,
1986-07,110.1752174,
1986-08,107.3595238,
1986-09,107.0247619,
1986-10,106.4382609,
1986-11,107.7868421,
1986-12,106.4952381,
1987-01,100.912381,
1987-02,99.35947368,
1987-03,98.85,
1987-04,96.92857143,
1987-05,95.965,
1987-06,97.67681818,
1987-07,99.29090909,
1987-08,99.38190476,
1987-09,97.1247619,
1987-10,96.51590909,
1987-11,91.3445,
1987-12,88.61636364,
1988-01,89.2775,
1988-02,91.011,
1988-03,89.6173913,
1988-04,88.935,
1988-05,89.66857143,
1988-06,92.48318182,15.24833333
1988-07,96.4505,14.92238095
1988-08,98.16391304,15.00909091
1988-09,97.75571429,13.54090909
1988-10,95.11571429,12.54904762
1988-11,91.77761905,13.02863636
1988-12,91.79285714,14.75
1989-01,95.04809524,16.25190476
1989-02,95.72,16.034
1989-03,96.90363636,17.72238095
1989-04,97.1335,18.9695
1989-05,100.7518182,17.65857143
1989-06,102.9009091,17.08454545
1989-07,98.994,17.30619048
1989-08,100.4230435,16.79636364
1989-09,101.7145,17.65142857
1989-10,98.86954545,18.53181818
1989-11,97.86285714,18.63045455
1989-12,94.7225,19.37105263
1990-01,92.94636364,20.09090909
1990-02,92.17315789,19.592
1990-03,93.98954545,18.64181818
1990-04,93.3885,17.25894737
1990-05,91.97136364,17.12142857
1990-06,92.32285714,15.9647619
1990-07,89.53,17.81
1990-08,86.48217391,26.12090909
1990-09,85.97473684,32.62
1990-10,83.33869565,34.68608696
1990-11,82.03380952,31.62045455
1990-12,83.211,27.16684211
1991-01,83.40454545,23.26636364
1991-02,82.04421053,18.5785
1991-03,87.8685,18.764
1991-04,91.26,19.22095238
1991-05,92.13818182,19.44666667
1991-06,95.078,18.40789474
1991-07,95.13090909,19.46130435
1991-08,93.49272727,19.78285714
1991-09,91.0525,20.43047619
1991-10,90.65478261,21.99130435
1991-11,87.9975,21.0952381
1991-12,85.5247619,18.329
1992-01,86.03090909,17.96681818
1992-02,87.986,18.0135
1992-03,90.3,17.70272727
1992-04,89.73809524,18.9085
1992-05,88.198,19.86684211
1992-06,85.82045455,21.10181818
1992-07,82.37454545,20.37086957
1992-08,80.83428571,19.8745
1992-09,81.89142857,20.37409091
1992-10,84.96,20.37181818
1992-11,89.92333333,19.19857143
1992-12,90.39727273,18.2752381
1993-01,92.26238095,17.618
1993-02,93.7725,18.4145
1993-03,93.54521739,18.81695652
1993-04,90.43818182,18.8915
1993-05,90.1025,18.69789474
1993-06,91.62727273,17.815
1993-07,94.41714286,16.80818182
1993-08,94.15590909,16.92
1993-09,91.88761905,16.33863636
1993-10,93.14380952,16.87809524
1993-11,95.33714286,15.45181818
1993-12,95.67863636,13.64904762
1994-01,96.4152381,14.012
1994-02,95.62947368,13.6655
1994-03,94.22826087,13.55478261
1994-04,94.3065,15.00473684
1994-05,92.69142857,16.1715
1994-06,91.46454545,16.80590909
1994-07,89.10428571,17.74142857
1994-08,89.11521739,17.11818182
1994-09,87.98454545,16.24818182
1994-10,86.54190476,16.51619048
1994-11,87.70272727,17.20136364
1994-12,89.46666667,16.1285
1995-01,88.16,16.5647619
1995-02,87.09,17.025
1995-03,83.55608696,16.90173913
1995-04,81.62,18.39555556
1995-05,82.67590909,18.38857143
1995-06,82.07954545,17.21227273
1995-07,81.74380952,15.97714286
1995-08,84.48913043,16.15954545
1995-09,85.56428571,16.51142857
1995-10,83.95227273,16.04863636
1995-11,84.04954545,16.73727273
1995-12,84.949,17.79736842
1996-01,86.11409091,17.56545455
1996-02,86.21904762,17.30714286
1996-03,86.44,18.79095238
1996-04,87.37409091,20.137
1996-05,88.19409091,18.80095238
1996-06,88.032,18.2275
1996-07,87.13304348,19.42478261
1996-08,86.41318182,20.26428571
1996-09,87.33,22.64761905
1996-10,87.89434783,24.05695652
1996-11,86.91095238,22.83571429
1996-12,88.60285714,23.6295
1997-01,90.94636364,23.31272727
1997-02,94.4065,20.5715
1997-03,95.503,19.66210526
1997-04,96.27863636,18.12590909
1997-05,95.1352381,19.328
1997-06,95.31857143,18.02238095
1997-07,97.34608696,18.38391304
1997-08,99.84904762,18.8395
1997-09,98.22428571,18.64045455
1997-10,96.95391304,20.14347826
1997-11,96.2825,19.319
1997-12,98.71636364,17.51428571
1998-01,100.4471429,15.62380952
1998-02,99.79526316,14.69
1998-03,100.3522727,13.76090909
1998-04,100.1890476,14.1185
1998-05,99.522,14.45263158
1998-06,100.8181818,13.41136364
1998-07,101.2504348,12.98652174
1998-08,101.6738095,12.3315
1998-09,97.07272727,13.62681818
1998-10,93.58181818,13.18318182
1998-11,95.363,11.82571429
1998-12,94.48590909,10.18571429
1999-01,94.605,11.0805
1999-02,97.0445,10.5345
1999-03,99.42434783,12.8773913
1999-04,100.4566667,15.467
1999-05,100.9225,15.83105263
1999-06,102.4786364,16.20818182
1999-07,102.705,18.77772727
1999-08,100.2718182,20.43761905
1999-09,99.86272727,22.84272727
1999-10,98.24047619,22.24333333
1999-11,100.6059091,24.23863636
1999-12,101.7430435,25.157
2000-01,101.6904762,25.2215
2000-02,104.4471429,27.02809524
2000-03,105.5669565,27.2726087
2000-04,106.8185,23.13611111
2000-05,110.7813636,27.47952381
2000-06,107.16,29.76090909
2000-07,108.2461905,28.66619048
