指标名称,M2,美国:M2,欧元区:M2,日本:货币供应量:平均余额:M2
2009-01,"496,135.31","8,273.90","8,101,892.00",744.74
2008-12,"475,166.60","8,229.00","8,103,057.00",741.73
2008-11,"458,644.66","8,010.30","8,018,985.00",735.00
2008-10,"453,133.32","7,919.90","7,972,122.00",732.53
2008-09,"452,898.71","7,812.60","7,839,899.00",735.86
2008-08,"448,846.68","7,739.50","7,759,476.00",737.17
2008-07,"446,362.17","7,741.70","7,750,324.00",738.14
2008-06,"443,141.02","7,728.60","7,734,627.00",737.83
2008-05,"436,221.60","7,706.20","7,688,720.00",734.30
2008-04,"429,313.72","7,764.40","7,625,571.00",734.59
2008-03,"423,054.53","7,716.20","7,544,871.00",729.95
2008-02,"421,037.84","7,582.20","7,471,675.00",727.66
2008-01,"417,846.17","7,500.10","7,449,456.00",730.45
2007-12,"403,401.30","7,502.00","7,436,874.00",728.56
2007-11,"399,757.91","7,434.60","7,288,789.00",722.07
2007-10,"394,204.17","7,376.20","7,229,789.00",719.34
2007-09,"393,098.91","7,365.50","7,140,136.00",720.19
2007-08,"387,205.04","7,344.90","7,044,759.00",719.82
2007-07,"383,884.88","7,285.60","7,063,718.00",722.88
2007-06,"377,832.15","7,282.80","7,023,577.00",721.64
2007-05,"369,718.15","7,238.80","6,928,873.00",719.52
2007-04,"367,326.45","7,294.50","6,875,258.00",721.10
2007-03,"364,104.66","7,205.30","6,830,309.00",713.84
2007-02,"358,659.25","7,107.50","6,707,664.00",710.89
2007-01,"351,498.77","7,095.90","6,704,079.00",715.14
2006-12,"345,577.91","7,098.00","6,743,791.00",713.79
2006-11,"337,504.15","7,023.00","6,535,927.00",707.83
2006-10,"332,747.17","6,960.80","6,472,185.00",705.98
2006-09,"331,865.36","6,918.00","6,461,105.00",708.19
2006-08,"327,885.67","6,890.60","6,360,016.00",707.31
2006-07,"324,010.76","6,872.00","6,382,249.00",708.52
2006-06,"322,756.35","6,850.50","6,386,776.00",708.59
2006-05,"316,709.81","6,796.80","6,321,177.00",709.32
2006-04,"313,702.34","6,858.40","6,316,677.00",712.91
2006-03,"310,490.65","6,794.90","6,212,517.00",706.12
2006-02,"304,516.27","6,722.40","6,157,331.00",703.80
2006-01,"303,571.65","6,705.30","6,134,008.00",708.78
2005-12,"298,755.48","6,707.20","6,168,737.00",708.99
2005-11,"292,350.39","6,654.10","6,002,366.00",703.60
2005-10,"287,591.61","6,613.40","5,976,941.00",702.17
2005-09,"287,438.27","6,586.20","5,939,643.00",704.62
2005-08,"281,288.22","6,553.50","5,859,423.00",704.37
2005-07,"276,966.28","6,529.30","5,896,526.00",705.06
2005-06,"275,785.53","6,510.40","5,858,475.00",700.68
2005-05,"269,240.49","6,458.50","5,778,327.00",700.32
2005-04,"266,992.66","6,507.20","5,738,282.00",701.54
2005-03,"264,588.94","6,463.70","5,680,387.00",696.51
2005-02,"259,357.29","6,404.60","5,643,364.00",692.05
2005-01,"257,708.47","6,403.00","5,637,298.00",696.57
2004-12,"253,207.70","6,446.30","5,632,265.00",696.06
2004-11,"247,135.58","6,404.00","5,528,865.00",689.48
2004-10,"243,740.32","6,354.50","5,490,285.00",689.05
2004-09,"243,756.88","6,332.70","5,451,083.00",690.73
2004-08,"239,729.19","6,299.50","5,397,916.00",693.37
2004-07,"238,126.97","6,277.90","5,428,440.00",693.79
2004-06,"238,427.49","6,271.70","5,408,012.00",689.48
2004-05,"234,842.40","6,248.50","5,377,365.00",690.38
2004-04,"233,627.86","6,234.80","5,344,467.00",689.19
2004-03,"231,654.60","6,167.40","5,310,219.00",682.59
2004-02,"227,050.72","6,087.90","5,273,548.00",679.78
2004-01,"225,101.93","6,057.80","5,271,712.00",683.31
2003-12,"221,222.82","6,097.30","5,297,999.00",682.58
2003-11,"216,351.73","6,075.70","5,206,044.00",675.73
2003-10,"214,469.36","6,047.20","5,157,878.00",675.57
2003-09,"213,567.13","6,062.60","5,136,978.00",676.85
2003-08,"210,591.90","6,090.60","5,125,966.00",680.73
2003-07,"206,193.07","6,034.00","5,124,234.00",681.31
2003-06,"204,907.42","5,991.10","5,130,101.00",677.76
2003-05,"199,505.19","5,937.00","5,109,432.00",677.09
2003-04,"196,130.13","5,937.40","5,052,347.00",676.71
2003-03,"194,487.30","5,881.00","5,006,352.00",
2003-02,"190,108.41","5,819.70","4,951,523.00",
2003-01,"190,545.05","5,792.40","4,923,614.00",
2002-12,"185,006.97","5,803.00","4,981,449.00",
2002-11,"179,736.26","5,756.60","4,875,496.00",
2002-10,"177,294.15","5,684.50","4,811,015.00",
2002-09,"176,985.21","5,645.60","4,792,133.00",
2002-08,"173,250.92","5,620.70","4,750,263.00",
2002-07,"170,851.14","5,577.70","4,758,307.00",
2002-06,"169,601.24","5,536.90","4,768,158.00",
2002-05,"166,023.00","5,499.00","4,728,195.00",
2002-04,"164,570.56","5,532.50","4,706,318.00",
2002-03,"164,064.57","5,518.10","4,670,235.00",
2002-02,"160,935.59","5,469.30","4,644,451.00",
2002-01,"159,639.27","5,449.90","4,655,663.00",
2001-12,"158,301.92","5,463.80","4,684,363.00",
2001-11,"154,088.33","5,383.60","4,565,041.00",
2001-10,"151,497.25","5,320.70","4,512,933.00",
2001-09,"151,642.64","5,335.60","4,508,739.00",
2001-08,"149,941.76","5,224.10","4,461,073.00",
2001-07,"149,228.73","5,188.20","4,479,923.00",
2001-06,"147,809.67","5,159.60","4,492,195.00",
2001-05,"139,015.84","5,110.40","4,445,379.00",
2001-04,"139,949.85","5,173.50","4,422,968.00",
2001-03,"138,744.46","5,097.50","4,385,080.00",
2001-02,"136,210.17","5,007.30","4,355,581.00",
2001-01,"137,543.63","4,978.50","4,348,576.00",
2000-12,"134,610.26","4,952.60","4,299,630.00",
2000-11,"130,994.07","4,881.70","4,210,799.00",
2000-10,"129,522.44","4,853.90","4,187,284.00",
2000-09,"130,473.84","4,840.00","4,182,500.00",
2000-08,"127,790.30","4,804.40","4,176,869.00",
2000-07,"126,323.92","4,773.90","4,184,938.00",
2000-06,"126,605.33","4,757.70","4,186,421.00",
2000-05,"124,053.25","4,732.30","4,177,617.00",
2000-04,"124,121.87","4,806.10","4,186,038.00",
2000-03,"122,606.82","4,736.00","4,143,894.00",
2000-02,"121,583.40","4,674.40","4,133,651.00",
2000-01,"121,220.40","4,672.60","4,137,751.00",
1999-12,"119,898.00","4,664.50","4,142,298.00",
1999-11,"116,559.00","4,610.20","4,049,147.00",
1999-10,"115,390.00","4,574.80","4,019,772.00",
1999-09,"115,079.00","4,553.10","4,000,412.00",
1999-08,"112,827.00","4,539.40","3,991,118.00",
1999-07,"111,400.00","4,519.60","4,021,979.00",
1999-06,"111,363.00","4,494.70","4,005,344.00",
1999-05,"110,061.00","4,464.10","3,979,502.00",
1999-04,"109,218.00","4,501.40","3,950,654.00",
1999-03,"108,438.00","4,455.60","3,929,382.00",
1999-02,"107,778.00","4,418.70","3,911,195.00",
1999-01,"105,500.00","4,409.50","3,953,260.00",
1998-12,"104,498.50","4,399.60","3,920,142.00",
1998-11,"102,229.00","4,345.90","3,789,869.00",
1998-10,"100,863.00","4,291.40","3,740,076.00",
1998-09,"99,795.00","4,254.40","3,725,841.00",
1998-08,"97,299.00","4,220.30","3,718,421.00",
1998-07,"96,314.00","4,193.20","3,725,595.00",
1998-06,"94,658.00","4,174.60","3,758,292.00",
1998-05,"93,936.00","4,144.00","3,727,306.00",
1998-04,"92,662.00","4,174.60","3,698,170.00",
1998-03,"92,015.00","4,131.70","3,666,889.00",
1998-02,"92,024.00","4,080.10","3,660,607.00",
1998-01,"92,180.00","4,062.50","3,658,505.00",
1997-12,"90,631.83","4,055.10","3,687,146.00",
1997-11,"87,590.00","4,015.80","3,587,644.00",
1997-10,"86,644.00","3,977.20","3,555,327.00",
1997-09,"85,892.00","3,961.50","3,543,278.00",
1997-08,"84,746.00","3,953.20","3,531,781.00",
1997-07,"83,460.00","3,918.50","3,542,370.00",
1997-06,"82,789.00","3,899.50","3,549,216.00",
1997-05,"81,151.00","3,869.40","3,516,345.00",
1997-04,"80,818.00","3,905.70","3,498,558.00",
1997-03,"79,889.00","3,873.20","3,500,177.00",
1997-02,"78,998.00","3,835.10","3,493,103.00",
1997-01,"78,648.00","3,839.50","3,499,192.00",
1996-12,"77,265.00","3,839.80","3,562,479.00",
1996-11,"74,142.00","3,797.20","3,438,163.00",
1996-10,"73,152.20","3,758.70","3,403,007.00",
1996-09,"69,643.00","3,744.20","3,406,184.00",
1996-08,"72,309.00","3,741.60","3,382,843.00",
1996-07,"69,346.00","3,734.10","3,386,524.00",
1996-06,"68,132.00","3,721.00","3,397,323.00",
1996-05,"66,880.00","3,690.10","3,362,529.00",
1996-04,"65,723.00","3,720.60","3,359,123.00",
1996-03,"64,511.00","3,694.00","3,344,138.00",
1996-02,"63,778.00","3,647.50","3,332,905.00",
1996-01,"58,401.00","3,651.30","3,337,995.00",
1995-12,"60,750.50","3,653.30","3,397,475.00",
1995-11,,"3,622.90","3,263,208.00",
1995-10,,"3,602.30","3,235,715.00",
1995-09,,"3,594.60","3,233,082.00",
1995-08,,"3,585.20","3,203,359.00",
1995-07,,"3,569.70","3,212,065.00",
1995-06,,"3,545.50","3,218,329.00",
1995-05,,"3,506.70","3,192,383.00",
1995-04,,"3,522.40","3,187,017.00",
1995-03,,"3,491.70","3,176,207.00",
1995-02,,"3,474.90","3,172,637.00",
1995-01,,"3,495.30","3,176,293.00",
1994-12,"46,923.50","3,507.80","3,243,755.00",
1994-11,,"3,491.80","3,148,097.00",
1994-10,,"3,478.20","3,139,823.00",
1994-09,,"3,476.80","3,135,704.00",
1994-08,,"3,481.60","3,126,004.00",
1994-07,,"3,491.50","3,149,190.00",
1994-06,,"3,477.40","3,154,660.00",
1994-05,,"3,474.50","3,129,450.00",
1994-04,,"3,503.10","3,133,737.00",
1994-03,,"3,477.20","3,126,996.00",
1994-02,,"3,459.70","3,102,600.00",
1994-01,,"3,480.10","3,105,703.00",
1993-12,"34,879.80","3,495.10","3,150,266.00",
1993-11,,"3,474.70","3,020,874.00",
1993-10,,"3,452.70","2,987,300.00",
1993-09,,"3,443.50","2,966,997.00",
1993-08,,"3,440.90","2,948,714.00",
1993-07,,"3,442.60","2,953,701.00",
1993-06,,"3,439.50","2,955,816.00",
1993-05,,"3,425.00","2,933,359.00",
1993-04,,"3,430.40","2,913,546.00",
1993-03,,"3,410.50","2,902,894.00",
1993-02,,"3,400.70","2,879,792.00",
1993-01,,"3,423.60","2,882,795.00",
1992-12,"25,402.20","3,441.30","2,939,888.00",
1992-11,,"3,433.40","2,847,433.00",
1992-10,,"3,418.70","2,812,531.00",
1992-09,,"3,401.20","2,814,038.00",
1992-08,,"3,396.50","2,778,097.00",
1992-07,,"3,393.20","2,781,924.00",
1992-06,,"3,388.70","2,789,467.00",
1992-05,,"3,388.00","2,774,682.00",
1992-04,,"3,418.90","2,761,474.00",
1992-03,,"3,404.80","2,742,354.00",
1992-02,,"3,390.10","2,729,984.00",
1992-01,,"3,383.20","2,735,280.00",
1991-12,"19,349.90","3,386.40","2,808,376.00",
1991-11,,"3,371.20","2,689,380.00",
1991-10,,"3,353.80","2,656,288.00",
1991-09,,"3,347.60","2,657,215.00",
1991-08,,"3,351.40","2,637,304.00",
1991-07,,"3,354.40","2,645,258.00",
1991-06,,"3,349.70","2,651,888.00",
1991-05,,"3,330.30","2,613,692.00",
1991-04,,"3,349.50","2,612,112.00",
1991-03,,"3,327.30","2,600,460.00",
1991-02,,"3,296.30","2,599,248.00",
1991-01,,"3,289.30","2,600,176.00",
1990-12,"15,293.40","3,285.10","2,658,683.00",
1990-11,,"3,265.30","2,542,044.00",
1990-10,,"3,253.70","2,525,949.00",
1990-09,,"3,249.00","2,528,301.00",
1990-08,,"3,238.70","2,490,324.00",
1990-07,,"3,224.50","2,504,399.00",
1990-06,,"3,210.80","2,496,900.00",
1990-05,,"3,186.70","2,375,964.00",
1990-04,,"3,219.80","2,376,184.00",
1990-03,,"3,192.60","2,359,966.00",
1990-02,,"3,170.50","2,370,043.00",
1990-01,,"3,170.40","2,379,739.00",
1989-12,"11,949.60","3,165.60","2,419,118.00",
1989-11,,"3,136.00","2,316,284.00",
1989-10,,"3,109.30","2,294,257.00",
1989-09,,"3,086.30","2,286,376.00",
1989-08,,"3,071.10","2,269,840.00",
1989-07,,"3,055.60","2,281,877.00",
1989-06,,"3,022.60","2,259,786.00",
1989-05,,"2,996.00","2,231,284.00",
1989-04,,"3,023.20","2,223,905.00",
1989-03,,"2,999.00","2,206,061.00",
1989-02,,"2,982.60","2,200,475.00",
1989-01,,"2,998.90","2,206,076.00",
1988-12,"10,099.80","3,000.60","2,232,947.00",
1988-11,,"2,982.70","2,159,819.00",
1988-10,,"2,962.00","2,140,644.00",
1988-09,,"2,950.10","2,119,614.00",
1988-08,,"2,949.80","2,112,574.00",
1988-07,,"2,953.20","2,121,632.00",
1988-06,,"2,935.30","2,102,394.00",
1988-05,,"2,910.70","2,081,419.00",
1988-04,,"2,925.30","2,067,842.00",
1988-03,,"2,886.70","2,048,098.00",
1988-02,,"2,858.80","2,051,778.00",
1988-01,,"2,857.20","2,062,080.00",
1987-12,"8,330.90","2,838.30","2,080,922.00",
1987-11,,"2,821.60","2,019,573.00",
1987-10,,"2,811.20","1,998,287.00",
1987-09,,"2,793.30","1,989,848.00",
1987-08,,"2,787.50","1,977,508.00",
1987-07,,"2,785.20","1,979,141.00",
1987-06,,"2,773.40","1,978,993.00",
1987-05,,"2,759.70","1,958,133.00",
1987-04,,"2,778.90","1,945,622.00",
1987-03,,"2,748.00","1,934,631.00",
1987-02,,"2,735.20","1,928,710.00",
1987-01,,"2,753.50","1,935,951.00",
1986-12,"6,720.90","2,740.70","1,955,310.00",
1986-11,,"2,705.20","1,893,614.00",
1986-10,,"2,684.40","1,868,051.00",
1986-09,,"2,661.70","1,861,344.00",
1986-08,,"2,645.90","1,845,874.00",
1986-07,,"2,632.40","1,844,954.00",
1986-06,,"2,605.30","1,836,445.00",
1986-05,,"2,571.10","1,814,401.00",
1986-04,,"2,564.80","1,810,348.00",
1986-03,,"2,527.60","1,815,499.00",
1986-02,,"2,502.10","1,800,065.00",
1986-01,,"2,510.80","1,805,907.00",
1985-12,"5,198.90","2,504.10","1,833,589.00",
1985-11,,"2,482.00","1,750,081.00",
1985-10,,"2,466.30","1,738,990.00",
1985-09,,"2,452.70","1,737,336.00",
1985-08,,"2,442.50","1,720,281.00",
1985-07,,"2,434.80","1,729,206.00",
1985-06,,"2,413.40","1,726,676.00",
1985-05,,"2,376.40","1,703,110.00",
1985-04,,"2,379.70","1,706,597.00",
1985-03,,"2,360.40","1,700,498.00",
1985-02,,"2,343.40","1,696,299.00",
1985-01,,"2,339.60","1,693,243.00",
1984-12,,"2,318.50","1,710,855.00",
1984-11,,"2,286.30","1,634,801.00",
1984-10,,"2,259.70","1,623,302.00",
1984-09,,"2,242.80","1,623,248.00",
1984-08,,"2,228.90","1,596,946.00",
1984-07,,"2,228.00","1,601,634.00",
1984-06,,"2,214.30","1,590,888.00",
1984-05,,"2,191.40","1,576,865.00",
1984-04,,"2,196.00","1,567,986.00",
1984-03,,"2,169.00","1,555,115.00",
1984-02,,"2,147.70","1,556,309.00",
1984-01,,"2,145.00","1,560,794.00",
1983-12,,"2,134.00","1,579,251.00",
1983-11,,"2,117.60","1,516,045.00",
1983-10,,"2,102.10","1,500,376.00",
1983-09,,"2,081.10","1,487,292.00",
1983-08,,"2,072.50","1,482,811.00",
1983-07,,"2,069.70","1,487,081.00",
1983-06,,"2,051.80","1,474,462.00",
1983-05,,"2,031.70","1,460,615.00",
1983-04,,"2,033.70","1,450,437.00",
1983-03,,"2,009.60","1,441,222.00",
1983-02,,"1,985.80","1,444,592.00",
1983-01,,"1,963.90","1,442,306.00",
1982-12,,"1,913.80","1,449,908.00",
1982-11,,"1,890.10","1,391,951.00",
1982-10,,"1,875.60","1,378,429.00",
1982-09,,"1,859.00","1,370,312.00",
1982-08,,"1,845.90","1,358,537.00",
1982-07,,"1,835.00","1,354,396.00",
1982-06,,"1,822.70","1,348,117.00",
1982-05,,"1,804.90","1,333,498.00",
1982-04,,"1,807.90","1,321,306.00",
1982-03,,"1,781.70","1,313,237.00",
1982-02,,"1,765.30","1,308,889.00",
1982-01,,"1,772.80","1,304,501.00",
1981-12,,"1,760.30","1,308,299.00",
1981-11,,"1,741.00","1,256,082.00",
1981-10,,"1,726.40","1,239,115.00",
1981-09,,"1,706.40","1,235,503.00",
1981-08,,"1,694.60","1,222,519.00",
1981-07,,"1,685.10","1,224,131.00",
1981-06,,"1,667.10","1,224,320.00",
